"","Date","SH","JP","NS"
"1",2015-03-09,3302.41,18790.55,4412.99
"2",2015-03-10,3286.07,18665.11,4329.08
"3",2015-03-11,3290.9,18723.52,4305.38
"4",2015-03-12,3349.32,18991.11,4336.23
"5",2015-03-13,3372.91,19254.25,4314.9
"6",2015-03-16,3449.31,19246.06,4370.47
"7",2015-03-17,3502.85,19437,4375.63
"8",2015-03-18,3577.3,19544.48,4422.5
"9",2015-03-19,3582.27,19476.56,4426.82
"10",2015-03-20,3617.32,19560.22,4458.54
"11",2015-03-23,3687.73,19754.36,4445.54
"12",2015-03-24,3691.41,19713.45,4430.99
"13",2015-03-25,3660.73,19746.2,4329.29
"14",2015-03-26,3682.1,19471.12,4315.26
"15",2015-03-27,3691.1,19285.63,4332.86
"16",2015-03-30,3786.57,19411.4,4382.82
"17",2015-03-31,3747.9,19206.99,4333.69
"18",2015-04-01,3810.29,19034.84,4311.26
"19",2015-04-02,3825.78,19312.79,4316.01
"20",2015-04-03,3863.93,19435.08,4350.98
"21",2015-04-07,3961.38,19397.98,4344.08
"22",2015-04-08,3994.81,19640.54,4375.96
"23",2015-04-09,3957.53,19789.81,4403.95
"24",2015-04-10,4034.31,19937.72,4422.02
"25",2015-04-13,4121.72,19907.63,4409.21
"26",2015-04-14,4135.57,19905.46,4397.64
"27",2015-04-15,4084.16,19908.68,4424.53
"28",2015-04-16,4194.82,19869.76,4418.83
"29",2015-04-17,4287.3,19885.77,4351.8
"30",2015-04-20,4217.08,19652.88,4417.4
"31",2015-04-21,4293.62,19634.49,4435.98
"32",2015-04-22,4398.49,19909.09,4460.81
"33",2015-04-23,4414.51,20133.9,4477.07
"34",2015-04-24,4393.69,20187.65,4536.78
"35",2015-04-27,4527.4,20020.04,4525.04
"36",2015-04-28,4476.22,19983.32,4515.27
"37",2015-04-29,4476.62,20058.95,4488.15
"38",2015-04-30,4441.66,19520.01,4414.25
"39",2015-05-04,4480.46,19531.63,4479.06
"40",2015-05-05,4298.71,19291.99,4482.61
"41",2015-05-06,4229.27,19379.19,4409.39
"42",2015-05-07,4112.21,19620.91,4379.75
"43",2015-05-08,4205.92,19624.84,4401.55
"44",2015-05-11,4333.58,19764.72,4458.65
"45",2015-05-12,4401.22,19570.24,4438.64
"46",2015-05-13,4375.76,19732.92,4420.65
"47",2015-05-14,4378.31,19890.27,4426.56
"48",2015-05-15,4308.69,20026.38,4495.04
"49",2015-05-18,4283.49,20196.56,4494.29
"50",2015-05-19,4417.55,20202.87,4512.95
"51",2015-05-20,4446.29,20264.41,4503.72
"52",2015-05-21,4529.42,20413.77,4505.3
"53",2015-05-22,4657.6,20437.48,4529.47
"54",2015-05-25,4813.8,20472.58,4527.16
"55",2015-05-26,4910.9,20551.46,4472.96
"56",2015-05-27,4941.71,20563.15,4546.06
"57",2015-05-28,4620.27,20569.87,4535.66
"58",2015-05-29,4611.74,20543.19,4508.25
"59",2015-06-01,4828.74,20473.51,4521.85
"60",2015-06-02,4910.53,20488.19,4508.89
"61",2015-06-03,4909.98,20460.9,4519.86
"62",2015-06-04,4947.1,20457.19,4487.03
"63",2015-06-05,5023.1,20096.3,4477.19
"64",2015-06-08,5131.88,20046.36,4431.51
"65",2015-06-09,5113.53,20382.97,4427.61
"66",2015-06-10,5106.04,20407.08,4485.46
"67",2015-06-11,5121.59,20387.79,4488.47
"68",2015-06-12,5166.35,20257.94,4453.79
"69",2015-06-15,5062.99,20219.27,4432.92
"70",2015-06-16,4887.43,19990.82,4455.9
"71",2015-06-17,4967.9,20174.24,4468.98
"72",2015-06-18,4785.36,20428.19,4531.85
"73",2015-06-19,4478.36,20809.42,4513.42
"74",2015-06-23,4576.49,20868.03,4544.04
"75",2015-06-24,4690.15,20771.4,4548.74
"76",2015-06-25,4527.78,20706.15,4524.6
"77",2015-06-26,4192.87,20109.95,4514.01
"78",2015-06-29,4053.03,20235.73,4484.28
"79",2015-06-30,4277.22,20329.32,4379.86
"80",2015-07-01,4053.7,20522.5,4396.76
"81",2015-07-02,3912.77,20539.79,4429.23
"82",2015-07-03,3686.92,20112.12,4433.39
"83",2015-07-06,3775.91,20376.59,4418.66
"84",2015-07-07,3727.13,19737.64,4429.06
"85",2015-07-08,3507.19,19855.5,4351.58
"86",2015-07-09,3709.33,19779.83,4352.03
"87",2015-07-10,3877.8,20089.77,4420.15
"88",2015-07-13,3970.39,20385.33,4494.47
"89",2015-07-14,3924.49,20463.33,4523.47
"90",2015-07-15,3805.7,20600.12,4528.36
"91",2015-07-16,3823.18,20650.92,4594.9
"92",2015-07-17,3957.35,20841.97,4661.6
"93",2015-07-20,3992.11,20593.67,4679.68
"94",2015-07-21,4017.68,20683.95,4674.41
"95",2015-07-22,4026.05,20544.53,4623.24
"96",2015-07-23,4123.92,20350.1,4602.83
"97",2015-07-24,4070.91,20328.89,4557.37
"98",2015-07-27,3725.56,20302.91,4519.09
"99",2015-07-28,3663,20522.83,4560.23
"100",2015-07-29,3789.17,20585.24,4581.6
"101",2015-07-30,3705.77,20548.11,4598.59
"102",2015-07-31,3663.73,20520.36,4588.91
"103",2015-08-03,3622.91,20614.06,4580.46
"104",2015-08-04,3756.55,20664.44,4567.47
"105",2015-08-05,3694.57,20724.56,4602.24
"106",2015-08-06,3661.54,20808.69,4528.51
"107",2015-08-07,3744.21,20720.75,4520.08
"108",2015-08-10,3928.42,20392.77,4573.11
"109",2015-08-11,3927.91,20595.55,4513.99
"110",2015-08-12,3886.32,20519.45,4528.19
"111",2015-08-13,3954.56,20620.26,4519.32
"112",2015-08-14,3965.34,20554.47,4530.74
"113",2015-08-17,3993.67,20222.63,4566.37
"114",2015-08-18,3748.16,20033.52,4542.07
"115",2015-08-19,3794.11,19435.83,4510.9
"116",2015-08-20,3664.29,18540.68,4385.13
"117",2015-08-21,3507.74,17806.7,4197.27
"118",2015-08-24,3209.91,18376.83,4038.6
"119",2015-08-25,2964.97,18574.44,4016.32
"120",2015-08-26,2927.29,19136.32,4219.6
"121",2015-08-27,3083.59,18890.48,4324.82
"122",2015-08-28,3232.35,18165.69,4329.12
"123",2015-08-31,3205.99,18095.4,4274.58
"124",2015-09-01,3166.62,18182.39,4142.63
"125",2015-09-02,3160.17,17792.16,4256.23
"126",2015-09-07,3080.42,17860.47,4234.65
"127",2015-09-08,3170.45,17427.08,4184.72
"128",2015-09-09,3243.09,18770.51,4303.53
"129",2015-09-10,3197.89,18299.62,4253.45
"130",2015-09-11,3200.23,18264.22,4296.3
"131",2015-09-14,3114.8,17965.7,4323.23
"132",2015-09-15,3005.17,18026.48,4308.76
"133",2015-09-16,3152.26,18171.6,4360.28
"134",2015-09-17,3086.06,18432.27,4383.67
"135",2015-09-18,3097.92,18070.21,4384.96
"136",2015-09-21,3156.54,17571.83,4323.86
"137",2015-09-22,3185.62,17880.51,4336.13
"138",2015-09-23,3115.89,17645.11,4274.1
"139",2015-09-24,3142.69,16930.84,4273.53
"140",2015-09-25,3092.35,17388.15,4261.1
"141",2015-09-28,3100.76,17722.42,4224.74
"142",2015-09-29,3038.14,17725.13,4103.47
"143",2015-09-30,3052.78,18005.49,4083.37
"144",2015-10-08,3143.36,18186.1,4181.06
"145",2015-10-09,3183.15,18322.98,4192.96
"146",2015-10-12,3287.66,18141.17,4267.45
"147",2015-10-13,3293.23,18438.67,4331.43
"148",2015-10-14,3262.44,18234.74,4306.7
"149",2015-10-15,3338.07,17891,4333.46
"150",2015-10-16,3391.35,18096.9,4350.15
"151",2015-10-19,3386.7,18291.8,4350.15
"152",2015-10-20,3425.33,18131.23,4382.56
"153",2015-10-21,3320.68,18207.15,4352.94
"154",2015-10-22,3368.74,18554.28,4346.92
"155",2015-10-23,3412.43,18435.87,4418.22
"156",2015-10-26,3429.58,18825.3,4438.62
"157",2015-10-27,3434.34,18947.12,4462.07
"158",2015-10-28,3375.2,18777.04,4438.18
"159",2015-10-29,3387.32,18903.02,4413.52
"160",2015-10-30,3382.56,18935.71,4503.22
"161",2015-11-02,3325.09,19083.1,4624.09
"162",2015-11-03,3316.7,18683.24,4630.85
"163",2015-11-04,3459.64,18926.91,4639.23
"164",2015-11-05,3522.82,19116.41,4678.58
"165",2015-11-06,3590.03,19265.6,4670.76
"166",2015-11-09,3646.88,19642.74,4648.83
"167",2015-11-10,3640.49,19671.26,4703.91
"168",2015-11-11,3650.25,19691.39,4719.05
"169",2015-11-12,3632.9,19697.77,4717.55
"170",2015-11-13,3580.84,19596.91,4702.9
"171",2015-11-16,3606.96,19393.69,4707.23
"172",2015-11-17,3604.8,19630.63,4655.52
"173",2015-11-18,3568.47,19649.18,4641.73
"174",2015-11-19,3617.06,19859.81,4636.94
"175",2015-11-20,3630.5,19879.81,4588.93
"176",2015-11-23,3610.32,19924.89,4502.14
"177",2015-11-24,3616.11,19847.58,4565.47
"178",2015-11-25,3647.93,19944.41,4565.82
"179",2015-11-26,3635.55,19883.94,4653.44
"180",2015-11-27,3436.3,19747.47,4655.35
"181",2015-11-30,3445.41,20012.4,4686.36
"182",2015-12-01,3456.31,19938.13,4674.79
"183",2015-12-02,3536.91,19939.9,4669.41
"184",2015-12-03,3584.82,19504.48,4672.88
"185",2015-12-04,3524.99,19698.15,4680.47
"186",2015-12-07,3536.93,19492.6,4664.51
"187",2015-12-08,3470.07,19301.07,4716.16
"188",2015-12-09,3472.44,19046.55,4686.22
"189",2015-12-10,3455.5,19230.48,4606.75
"190",2015-12-11,3434.58,18883.42,4716.12
"191",2015-12-14,3520.67,18565.9,4693.62
"192",2015-12-15,3510.35,19049.91,4694.77
"193",2015-12-16,3516.19,19353.56,4622.14
"194",2015-12-17,3580,18986.8,4643.05
"195",2015-12-18,3578.96,18916.02,4537.56
"196",2015-12-21,3642.47,18886.7,4570.16
"197",2015-12-22,3651.77,18789.69,4597.33
"198",2015-12-23,3636.09,18769.06,4664.56
"199",2015-12-24,3612.49,18873.35,4664.56
"200",2015-12-25,3627.91,18982.23,4514.83
"201",2015-12-28,3533.78,19033.71,4560.55
"202",2015-12-29,3563.74,18450.98,4589.26
"203",2015-12-30,3572.88,18374,4624.59
"204",2015-12-31,3539.18,18191.32,4622.77
"205",2016-01-04,3296.26,17767.34,4621.35
"206",2016-01-05,3287.71,17697.96,4691.08
"207",2016-01-06,3361.84,17218.96,4652.01
"208",2016-01-07,3125,17715.63,4593.27
"209",2016-01-08,3186.41,17240.95,4497.86
"210",2016-01-11,3016.7,17147.11,4484.18
"211",2016-01-12,3022.86,16955.57,4443.99
"212",2016-01-13,2949.6,17048.37,4305.72
"213",2016-01-14,3007.65,16416.19,4270.78
"214",2016-01-15,2900.97,16017.26,4283.55
"215",2016-01-18,2913.84,16958.53,4333.72
"216",2016-01-19,3007.74,17110.91,4183.12
"217",2016-01-20,2976.69,16708.9,4272.97
"218",2016-01-21,2880.48,17163.92,4141.08
"219",2016-01-22,2916.56,17041.45,4147.08
"220",2016-01-25,2938.52,17518.3,4136.28
"221",2016-01-26,2749.79,17865.23,4142.6
"222",2016-01-27,2735.56,17750.68,4259.77
"223",2016-01-28,2655.66,17191.25,4196.53
"224",2016-01-29,2737.6,17044.99,4233.85
"225",2016-02-01,2688.85,16819.59,4128.86
"226",2016-02-02,2749.57,17004.3,4186.06
"227",2016-02-03,2739.25,16085.44,4279.17
"228",2016-02-04,2781.02,15713.39,4286.56
"229",2016-02-05,2763.49,14952.61,4193.1
"230",2016-02-15,2746.2,16022.58,4171.97
"231",2016-02-16,2836.57,16054.43,4167.77
"232",2016-02-17,2867.34,15836.36,4024.47
"233",2016-02-18,2862.89,16196.8,3960.67
"234",2016-02-19,2860.02,15967.17,3947.8
"235",2016-02-22,2927.18,16111.05,3966.28
"236",2016-02-23,2903.33,16052.05,3962.22
"237",2016-02-24,2928.9,15915.79,4019.19
"238",2016-02-25,2741.25,16140.34,4104.33
"239",2016-02-26,2767.21,16188.41,4199.1
"240",2016-02-29,2687.98,16026.76,4151.49
"241",2016-03-01,2733.17,16085.51,4164.09
"242",2016-03-02,2849.68,16746.55,4231.27
"243",2016-03-03,2859.76,16960.16,4162.54
"244",2016-03-04,2874.15,17014.78,4200.66
"245",2016-03-07,2897.34,16911.32,4241.06
"246",2016-03-08,2901.39,16783.15,4235.62
"247",2016-03-09,2862.56,16642.2,4201.12
"248",2016-03-10,2804.73,16852.35,4333.61
"249",2016-03-11,2810.31,16938.87,4334.39
"250",2016-03-14,2859.5,17233.75,4325.86
"251",2016-03-15,2864.37,17117.07,4717.02
"252",2016-03-16,2870.43,16974.45,4303.33
