Date,SH,SZ,SZZX
3/9/2015,3302.41,11533.23,6736.91
3/10/2015,3286.07,11556.65,6870.97
3/11/2015,3290.9,11525.09,6841.92
3/12/2015,3349.32,11635.59,6830.31
3/13/2015,3372.91,11713.61,6932.04
3/16/2015,3449.31,12017.77,7193.21
3/17/2015,3502.85,12169.52,7221.13
3/18/2015,3577.3,12496.24,7358.89
3/19/2015,3582.27,12429.11,7373.49
3/20/2015,3617.32,12544.45,7423.81
3/23/2015,3687.73,12780.32,7671.22
3/24/2015,3691.41,12801.2,7765.89
3/25/2015,3660.73,12757.1,7900.5
3/26/2015,3682.1,12712.98,7748.86
3/27/2015,3691.1,12874.42,7877.51
3/30/2015,3786.57,13193.32,7945.12
3/31/2015,3747.9,13160.66,8005.86
4/1/2015,3810.29,13394.73,8233.14
4/2/2015,3825.78,13426.1,8384.18
4/3/2015,3863.93,13494.64,8476.14
4/7/2015,3961.38,13768.73,8596.27
4/8/2015,3994.81,13841.72,8428.14
4/9/2015,3957.53,13796.73,8280.24
4/10/2015,4034.31,14013.34,8519.19
4/13/2015,4121.72,14149.51,8715.12
4/14/2015,4135.57,14042.46,8663.16
4/15/2015,4084.16,13646.61,8340.27
4/16/2015,4194.82,13967.8,8450.19
4/17/2015,4287.3,14149.34,8442.21
4/20/2015,4217.08,13871.6,8214.04
4/21/2015,4293.62,14439,8532.52
4/22/2015,4398.49,14749.13,8775.93
4/23/2015,4414.51,14743.22,8886.08
4/24/2015,4393.69,14598.7,8889.79
4/27/2015,4527.4,14809.42,8935.34
4/28/2015,4476.22,14707.25,8637.2
4/29/2015,4476.62,14871.95,8798.15
4/30/2015,4441.66,14818.64,8777.18
5/4/2015,4480.46,14860.53,8812.72
5/5/2015,4298.71,14233.1,8570.62
5/6/2015,4229.27,14136.17,8615.4
5/7/2015,4112.21,14114.73,8542.09
5/8/2015,4205.92,14481.25,8937.74
5/11/2015,4333.58,14944.88,9404.14
5/12/2015,4401.22,15066.29,9597.21
5/13/2015,4375.76,15173.09,9725.19
5/14/2015,4378.31,15024.47,9706.71
5/15/2015,4308.69,14694.95,9632.98
5/18/2015,4283.49,14672.63,9929.35
5/19/2015,4417.55,15127.38,10196.28
5/20/2015,4446.29,15337.08,10387.25
5/21/2015,4529.42,15872.53,10856.31
5/22/2015,4657.6,16045.8,10929.2
5/25/2015,4813.8,16351.06,11140.95
5/26/2015,4910.9,16903.47,11564.43
5/27/2015,4941.71,16963.52,11580.69
5/28/2015,4620.27,15912.95,10851.56
5/29/2015,4611.74,16100.45,10972.11
6/1/2015,4828.74,16917.53,11500.14
6/2/2015,4910.53,17485.58,11896.23
6/3/2015,4909.98,17538.5,11788.46
6/4/2015,4947.1,17501.05,11678.82
6/5/2015,5023.1,17649.09,11718.2
6/8/2015,5131.88,17452.31,11530.77
6/9/2015,5113.53,17399,11503.86
6/10/2015,5106.04,17677.57,11746.2
6/11/2015,5121.59,17889.69,11934.71
6/12/2015,5166.35,18098.27,11996.52
6/15/2015,5062.99,17702.55,11702.63
6/16/2015,4887.43,17075.93,11230.71
6/17/2015,4967.9,17405.57,11385.38
6/18/2015,4785.36,16734.84,10897.68
6/19/2015,4478.36,15725.47,10273.54
